plane u v typecode idx captureblock slink captureblockidx fedid zside
2 4 -6 ML-L3W 1 1 1 0 518 -1
2 4 -5 ML-F3W 0 1 1 0 518 -1
2 4 -4 ML-F3W 11 0 0 0 517 -1
2 4 -3 ML-F3W 3 0 0 0 469 -1
2 4 -2 ML-F3W 3 1 1 0 506 -1
2 4 -1 MH-F2W 2 0 0 0 505 -1
2 4 0 MH-F2W 2 0 0 0 49 -1
2 4 0 MH-F2W 2 0 0 0 517 -1
2 4 1 MH-F2W 0 0 0 0 37 -1
2 4 1 MH-F2W 5 0 0 0 433 -1
2 4 2 MH-F2W 1 2 0 1 13 -1
2 4 2 MH-F2W 1 2 0 1 397 -1
2 4 3 MH-F2W 0 0 0 0 421 -1
2 4 3 MH-F2W 5 0 0 0 49 -1
2 4 4 MH-F2W 2 0 0 0 433 -1
2 4 4 MH-F2W 2 0 0 0 133 -1
2 4 5 MH-F2W 2 0 0 0 121 -1
2 4 6 ML-F3W 3 1 1 0 122 -1
2 4 7 ML-F3W 3 0 0 0 85 -1
2 4 8 ML-F3W 11 0 0 0 133 -1
2 4 9 ML-F3W 0 1 1 0 134 -1
2 4 10 ML-L3W 1 1 1 0 134 -1
2 5 -5 ML-L3W 3 1 1 0 518 -1
2 5 -4 ML-F3W 2 1 1 0 518 -1
2 5 -3 ML-F3W 4 0 0 0 469 -1
2 5 -2 ML-F3W 4 1 1 0 506 -1
2 5 -1 ML-F3W 7 1 1 0 506 -1
2 5 0 ML-F3W 7 0 0 0 49 -1
2 5 0 ML-F3W 7 0 0 0 517 -1
2 5 1 MH-F2W 1 0 0 0 37 -1
2 5 1 MH-F2W 6 0 0 0 433 -1
2 5 2 MH-F2W 2 2 0 1 397 -1
2 5 2 MH-F2W 2 0 0 0 37 -1
2 5 3 MH-F2W 2 2 0 1 13 -1
2 5 3 MH-F2W 2 0 0 0 421 -1
2 5 4 MH-F2W 1 0 0 0 421 -1
2 5 4 MH-F2W 6 0 0 0 49 -1
2 5 5 ML-F3W 7 0 0 0 433 -1
2 5 5 ML-F3W 7 0 0 0 133 -1
2 5 6 ML-F3W 7 1 1 0 122 -1
2 5 7 ML-F3W 4 1 1 0 122 -1
2 5 8 ML-F3W 4 0 0 0 85 -1
2 5 9 ML-F3W 2 1 1 0 134 -1
2 5 10 ML-L3W 3 1 1 0 134 -1
2 6 -4 ML-R3W 4 1 1 0 518 -1
2 6 -3 ML-F3W 5 0 0 0 469 -1
2 6 -2 ML-F3W 5 1 1 0 506 -1
2 6 -1 ML-F3W 8 1 1 0 506 -1
2 6 0 ML-F3W 8 0 0 0 49 -1
2 6 0 ML-F3W 8 0 0 0 517 -1
2 6 1 ML-F3W 3 0 0 0 421 -1
2 6 1 ML-F3W 7 1 1 0 38 -1
2 6 2 ML-F3W 7 0 0 0 421 -1
2 6 2 ML-F3W 3 1 1 0 38 -1
2 6 3 ML-F3W 11 0 0 0 37 -1
2 6 3 ML-F3W 11 0 0 0 421 -1
2 6 4 ML-F3W 7 0 0 0 37 -1
2 6 4 ML-F3W 3 1 1 0 422 -1
2 6 5 ML-F3W 3 0 0 0 37 -1
2 6 5 ML-F3W 7 1 1 0 422 -1
2 6 6 ML-F3W 8 0 0 0 433 -1
2 6 6 ML-F3W 8 0 0 0 133 -1
2 6 7 ML-F3W 8 1 1 0 122 -1
2 6 8 ML-F3W 5 1 1 0 122 -1
2 6 9 ML-F3W 5 0 0 0 85 -1
2 6 10 ML-R3W 4 1 1 0 134 -1
2 7 -2 ML-F3W 6 1 1 0 506 -1
2 7 -1 ML-F3W 9 1 1 0 506 -1
2 7 0 ML-F3W 9 0 0 0 49 -1
2 7 0 ML-F3W 9 0 0 0 517 -1
2 7 1 ML-F3W 4 0 0 0 421 -1
2 7 1 ML-F3W 8 1 1 0 38 -1
2 7 2 ML-F3W 8 0 0 0 421 -1
2 7 2 ML-F3W 4 1 1 0 38 -1
2 7 3 ML-F3W 3 2 0 1 13 -1
2 7 3 ML-F3W 0 1 1 0 422 -1
2 7 4 ML-F3W 3 2 0 1 397 -1
2 7 4 ML-F3W 0 1 1 0 38 -1
2 7 5 ML-F3W 8 0 0 0 37 -1
